year,country,GNI,female_mortality,male_mortality,infant_mortality,expenditure,physicians,rural,school,urban,Development
1994,Argentina,7570,99.1198,193.3022,21.4,NA,NA,11.68,36.85111,88.32,Developed
1995,Argentina,7360,97.8212,190.1998,20.8,69.52491309,2.68,11.346,NA,88.654,Developed
1996,Argentina,7730,96.5226,187.0974,20.2,70.38440715,NA,11.0518,NA,88.9482,Developed
1997,Argentina,8140,95.224,183.995,19.6,63.21169192,NA,10.7576,NA,89.2424,Developed
1998,Argentina,8020,94.4186,182.8788,19.1,63.41713699,3.01,10.4634,46.01428,89.5366,Developed
1999,Argentina,7570,93.6132,181.7626,18.5,63.65391071,NA,10.1692,47.88292,89.8308,Developed
2000,Argentina,7470,92.8078,180.6464,18,62.98260149,NA,9.875,53.0705,90.125,Developed
2001,Argentina,7000,92.0024,179.5302,17.6,64.01160803,NA,9.6236,58.27672,90.3764,Developed
2002,Argentina,4050,91.197,178.414,17.1,64.2157975,NA,9.3722,62.22986,90.6278,Developed
2003,Argentina,3670,89.6876,176.1788,16.6,64.408088,NA,9.1208,64.86005,90.8792,Developed
2004,Argentina,3590,88.1782,173.9436,15.9,64.06195329,3.155,8.8694,65.35837,91.1306,Developed
2005,Argentina,4480,86.6688,171.7084,15.3,64.29765174,3.21,8.618,63.98481,91.382,Developed
2006,Argentina,5170,85.1594,169.4732,14.7,64.14417671,NA,8.4246,67.09057,91.5754,Developed
2007,Argentina,NA,83.65,167.238,14.2,61.51084345,NA,8.2312,66.72804,91.7688,Developed
2008,Argentina,NA,82.7466,165.3962,13.8,59.24364052,NA,8.0378,68.6869,91.9622,Developed
2009,Argentina,NA,81.8432,163.5544,13.5,59.24424869,NA,7.8444,71.25094,92.1556,Developed
2010,Argentina,NA,80.9398,161.7126,13.3,59.96565484,3.21,7.651,74.82966,92.349,Developed
2011,Argentina,NA,80.0364,159.8708,13,62.81153439,NA,7.5052,78.62611,92.4948,Developed
2012,Argentina,NA,79.133,158.029,12.7,65.2842038,NA,7.3594,NA,92.6406,Developed
