year,country,GNI,female_mortality,male_mortality,infant_mortality,expenditure,physicians,rural,school,urban,Development
1994,United States,27750,89.41,168.846,8.2,NA,NA,23.14,77.97709,76.86,Developed
1995,United States,29150,89.278,166.788,8,26.36567211,2,22.75,77.95615,77.25,Developed
1996,United States,30380,86.968,157.77,7.7,25.96528451,2,22.3822,77.45111,77.6178,Developed
1997,United States,31390,85.238,149.188,7.5,26.13443743,2.1,22.0144,NA,77.9856,Developed
1998,United States,32150,83.401,145.251,7.3,26.11931828,2.1,21.6466,70.39411,78.3534,Developed
1999,United States,33800,83.645,144.537,7.2,25.52813942,2.2,21.2788,71.906,78.7212,Developed
2000,United States,36090,83.253,143.763,7.1,25.02140352,2.56,20.911,67.84923,79.089,Developed
2001,United States,36840,84.092,144.198,7,24.33288824,2.2,20.5826,68.61805,79.4174,Developed
2002,United States,37460,83.75,144.426,6.9,23.45053917,2.3,20.2542,78.7994,79.7458,Developed
2003,United States,39950,83.425,143.705,6.8,24.19154683,NA,19.9258,80.66302,80.0742,Developed
2004,United States,43690,81.399,140.467,6.8,23.88703478,2.672,19.5974,80.742,80.4026,Developed
2005,United States,46350,81.397,141.797,6.8,23.73021576,NA,19.269,81.31697,80.731,Developed
2006,United States,48080,81.169,141.47,6.7,23.30060663,NA,18.9866,81.2776,81.0134,Developed
2007,United States,48640,79.348,138.446,6.6,23.21630674,NA,18.7042,82.25604,81.2958,Developed
2008,United States,49350,78.696,136.775,6.5,23.03787801,NA,18.4218,84.21237,81.5782,Developed
2009,United States,48040,79.044,134.935,6.4,22.71148695,2.422,18.1394,87.73228,81.8606,Developed
2010,United States,48960,77.187,131.902,6.3,22.40796254,2.422,17.857,93.29339,82.143,Developed
2011,United States,50650,NA,NA,6.2,21.99532542,2.452,17.616,95.33196,82.384,Developed
2012,United States,52340,NA,NA,6,20.72377158,NA,17.375,NA,82.625,Developed
